         2633835 function calls (2585403 primitive calls) in 63.511 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.051    0.010    0.051    0.010 {built-in method _imp.create_dynamic}
      272    0.001    0.000    0.050    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\lines.py:1363(update_from)
        2    0.000    0.000    0.050    0.025 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\groupby\ops.py:743(group_info)
        2    0.000    0.000    0.050    0.025 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\groupby\ops.py:758(_get_compressed_codes)
       84    0.000    0.000    0.049    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1754(_copy_tick_props)
     1035    0.004    0.000    0.048    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:47(_get_text_metrics_with_cache)
     1204    0.001    0.000    0.048    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6519(sum)
      175    0.001    0.000    0.048    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\ticker.py:239(format_ticks)
       85    0.000    0.000    0.047    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:54(get_offset)
     1204    0.002    0.000    0.047    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:12498(sum)
       85    0.000    0.000    0.046    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:291(get_offset)
       25    0.000    0.000    0.045    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\legend.py:748(_findoffset)
       25    0.001    0.000    0.045    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\legend.py:1180(_find_best_position)
     1204    0.004    0.000    0.045    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:12459(_min_count_stat_function)
       88    0.045    0.001    0.045    0.001 {built-in method matplotlib.ft2font._layout}
       24    0.000    0.000    0.044    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:562(__get__)
    35236    0.018    0.000    0.044    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\__init__.py:786(__getitem__)
13432/272    0.020    0.000    0.044    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\copy.py:128(deepcopy)
   300300    0.043    0.000    0.043    0.000 {method 'keys' of 'dict' objects}
      512    0.041    0.000    0.043    0.000 {built-in method matplotlib.ft2font._render_glyph}
        1    0.000    0.000    0.043    0.043 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1(<module>)
  816/272    0.005    0.000    0.042    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\copy.py:227(_deepcopy_dict)
      287    0.002    0.000    0.042    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:158(__init__)
     3928    0.011    0.000    0.040    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:1863(from_array)
        2    0.000    0.000    0.040    0.020 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:518(__init__)
       32    0.000    0.000    0.039    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageTk.py:92(__init__)
