Pd,Pfa,total_scans,total_switches,rf_utilization,ir_utilization,mean_aoi,max_aoi,latency_mean,latency_p95,scenario,scheduler,seed
0.0,0.156,250,0,1.0,0.0,0.0,0.0,1.5302784778029321e-06,2.9000002541579306e-06,C_LOW_SNR,RoundRobin,42
0.0,0.164,250,0,1.0,0.0,0.0,0.0,1.3948212502027058e-06,2.4500041035935283e-06,C_LOW_SNR,RoundRobin,43
0.0,0.128,250,0,1.0,0.0,0.0,0.0,1.37609560218866e-06,2.3500033421441913e-06,C_LOW_SNR,RoundRobin,44
0.0,0.128,250,0,1.0,0.0,0.0,0.0,1.2035854299927495e-06,2.24999530473724e-06,C_LOW_SNR,RoundRobin,45
0.0,0.168,250,0,1.0,0.0,0.0,0.0,1.1446207796086174e-06,1.8999999156221747e-06,C_LOW_SNR,RoundRobin,46
0.0,0.148,250,0,1.0,0.0,0.0,0.0,1.3996025109552292e-06,2.4000037228688598e-06,C_LOW_SNR,RoundRobin,47
0.0,0.156,250,0,1.0,0.0,0.0,0.0,1.6752992124960896e-06,3.25000291923061e-06,C_LOW_SNR,RoundRobin,48
0.0,0.136,250,0,1.0,0.0,0.0,0.0,1.67091665103052e-06,3.249995643272996e-06,C_LOW_SNR,RoundRobin,49
0.0,0.144,250,0,1.0,0.0,0.0,0.0,1.4661359545066062e-06,2.3999964469112456e-06,C_LOW_SNR,RoundRobin,50
0.0,0.16,250,0,1.0,0.0,0.0,0.0,1.1015941288722939e-06,1.7999991541728377e-06,C_LOW_SNR,RoundRobin,51
0.0,0.9919354838709677,496,0,1.0,0.0,0.0,0.0,1.1281891201502855e-05,2.252000849694013e-05,C_LOW_SNR,Greedy,42
0.0,0.9919191919191919,495,0,1.0,0.0,0.0,0.0,1.0823185690359452e-05,2.0974999642930925e-05,C_LOW_SNR,Greedy,43
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.3170059752453513e-05,2.920000406447798e-05,C_LOW_SNR,Greedy,44
0.0,0.9816700610997964,491,0,1.0,0.0,0.0,0.0,1.918374024482058e-05,2.4285003746626885e-05,C_LOW_SNR,Greedy,45
0.0,0.9878542510121457,494,0,1.0,0.0,0.0,0.0,1.632565658332573e-05,3.392000071471555e-05,C_LOW_SNR,Greedy,46
0.0,0.9979919678714859,498,0,1.0,0.0,0.0,0.0,3.424769543080529e-05,3.646999830380073e-05,C_LOW_SNR,Greedy,47
0.0,0.9919354838709677,496,0,1.0,0.0,0.0,0.0,3.9124547102642236e-05,0.00010210000909864895,C_LOW_SNR,Greedy,48
0.0,0.9878296146044625,493,0,1.0,0.0,0.0,0.0,2.0496760905524225e-05,3.384499577805398e-05,C_LOW_SNR,Greedy,49
0.0,0.9959758551307847,497,0,1.0,0.0,0.0,0.0,2.534779117243499e-05,3.866500119329428e-05,C_LOW_SNR,Greedy,50
0.0,0.98989898989899,495,0,1.0,0.0,0.0,0.0,2.0587298305115603e-05,4.357500802143477e-05,C_LOW_SNR,Greedy,51
0.0,0.20717131474103587,251,0,1.0,0.0,0.0,0.0,1.4733332858350689e-05,3.138500615023075e-05,C_LOW_SNR,EarliestAoI,42
0.0,0.212,250,0,1.0,0.0,0.0,0.0,2.7106772687108037e-05,5.3099996875971556e-05,C_LOW_SNR,EarliestAoI,43
0.0,0.199203187250996,251,0,1.0,0.0,0.0,0.0,1.6197619212713715e-05,4.177999799139797e-05,C_LOW_SNR,EarliestAoI,44
