modulation,snr,detector,pd,pfa
qpsk,2.1428571428571423,iq_energy,1.0,0.014
qpsk,2.1428571428571423,probabilistic,1.0,0.01
qpsk,4.285714285714285,cnn,1.0,1.0
qpsk,4.285714285714285,fft_peak,1.0,0.558
qpsk,4.285714285714285,iq_energy,1.0,0.006
qpsk,4.285714285714285,probabilistic,1.0,0.012
qpsk,6.428571428571427,cnn,1.0,1.0
qpsk,6.428571428571427,fft_peak,1.0,0.592
qpsk,6.428571428571427,iq_energy,1.0,0.016
qpsk,6.428571428571427,probabilistic,1.0,0.012
qpsk,8.57142857142857,cnn,1.0,1.0
qpsk,8.57142857142857,fft_peak,1.0,0.578
qpsk,8.57142857142857,iq_energy,1.0,0.014
qpsk,8.57142857142857,probabilistic,1.0,0.014
qpsk,10.714285714285715,cnn,1.0,1.0
qpsk,10.714285714285715,fft_peak,1.0,0.59
qpsk,10.714285714285715,iq_energy,1.0,0.012
qpsk,10.714285714285715,probabilistic,1.0,0.008
qpsk,12.857142857142858,cnn,1.0,1.0
qpsk,12.857142857142858,fft_peak,1.0,0.612
qpsk,12.857142857142858,iq_energy,1.0,0.006
qpsk,12.857142857142858,probabilistic,1.0,0.012
qpsk,15.0,cnn,1.0,1.0
qpsk,15.0,fft_peak,1.0,0.546
qpsk,15.0,iq_energy,1.0,0.008
qpsk,15.0,probabilistic,1.0,0.004
